"legis.annee","groupe.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"RPR/UMP/LR","cadsupprive",41,37.962962962963,9.75609756097561,0,55.4146341463415,56,75.2009395399068,79.3103448275862,29.2682926829268,0,100,100,0,0,95.1219512195122,100,71.0582448895182,71.4285714285714,14.6341463414634,0,22.3658536585366,23
2012,"RPR/UMP/LR","cadsuppub",51,30.1775147928994,17.6470588235294,0,53.8039215686275,54,62.3470737264389,66.6666666666667,39.2156862745098,0,100,100,0,0,94.1176470588235,100,57.6351680850691,60.5263157894737,29.4117647058824,0,18.6274509803922,19
2012,"RPR/UMP/LR","collab",25,24.5098039215686,4,0,49.88,50,90.9934157026572,95.6521739130435,100,100,0,0,0,0,100,100,72.0127532257295,79.3103448275862,28,0,22.64,24
2012,"RPR/UMP/LR","NA",8,57.1428571428571,62.5,100,56.5,56.5,79.3341249515645,89.0625,25,0,0,0,0,0,100,100,76.1083184999516,89.0625,12.5,0,24.625,23
2012,"RPR/UMP/LR","profinter",15,14.2857142857143,33.3333333333333,0,56.3333333333333,55,56.2027993834443,63.8888888888889,13.3333333333333,0,0,0,100,100,86.6666666666667,100,56.0578718472125,63.0434782608696,6.66666666666667,0,18,20
2012,"RPR/UMP/LR","proflib",40,51.2820512820513,7.5,0,58.375,60.5,66.0356173920514,63.0032206119163,5,0,100,100,0,0,100,100,65.9314507253847,63.0032206119163,15,0,22.2,23
2012,"Socialiste","agri",10,55.5555555555556,40,0,59,59,52.4864041817752,50.8482142857143,0,0,100,100,0,0,100,100,52.4864041817752,50.8482142857143,50,50,18.2,17
2012,"Socialiste","artisancommercantpdg",4,17.3913043478261,75,100,52.25,55,46.8666784642869,46.384872080089,0,0,100,100,0,0,100,100,46.8666784642869,46.384872080089,50,50,13.75,14
2012,"Socialiste","cadsupprive",53,49.0740740740741,20.7547169811321,0,54.2452830188679,55,58.6316514238009,65.3846153846154,32.0754716981132,0,100,100,0,0,86.7924528301887,100,53.1088708831455,56.0975609756098,56.6037735849057,100,18.3018867924528,20
2012,"Socialiste","cadsuppub",94,55.6213017751479,36.1702127659574,0,54,55.5,57.6406945453371,64.2857142857143,34.0425531914894,0,100,100,0,0,91.4893617021277,100,53.2698208973107,57.3591253153911,54.2553191489362,100,17.2553191489362,17
